Date,Task Name,Task Type,Category,Start Time,End Time
4/10/2025,Design logo for Client A,Design,Freelance,1:10 PM,3:03 PM
4/10/2025,Practice guitar,Music,Hobby,8:44 PM,9:55 PM
,,,,,
4/11/2025,File taxes,Admin,None,11:00 AM,12:32 PM
4/11/2025,Design logo for Client A,Design,Freelance,6:45 PM,7:58 PM
4/11/2025,Read book,Reading,Hobby,8:15 PM,9:40 PM
,,,,,
4/12/2025,Practice guitar,Music,Hobby,11:06 AM,12:15 AM
4/12/2025,Read book,Reading,Hobby,1:55 PM,3:08 PM
4/12/2025,Send invoices,Admin,Freelance,5:49 PM,6:27 PM
,,,,,
4/13/2025,Design logo for Client B,Design,Freelance,11:30 AM,1:30 PM
4/13/2025,Design brand guide for Client B,Design,Freelance,7:57 PM,10:30 PM
